CourseID,Subject,CourseNumber,Title,Credits,Description
CAI4002,CAI ,4002,Introduction to Artificial Intelligence ,3,"Introduction to Artificial Intelligence covers basic concepts, tools, and techniques used to produce artificial intelligence. Basic machine learning concepts. Use of different software tools for searching, reasoning and learning."
CAI4105,CAI ,4105,Introduction to Machine Learning ,3,"This course introduces students to machine learning concepts, methods, tools, and applications. Topics include unsupervised learning, supervised learning, reinforcement learning, and deep learning while presenting good practices, proper model evaluation, and ethical considerations."
CAI4841,CAI ,4841,Computer Vision ,3,"Introduction to topics such as image formation, segmentation, feature extraction, matching, shape recovery, texture analysis, object recognition, and dynamic scene analysis."
CAI4842,CAI ,4842,Image Processing Fundamentals ,3,"Practical introduction to a range of fundamental image processing algorithms. Extensive programming, with emphasis on image analysis and transformation techniques. Image transformation and manipulation."
CAI5005,CAI ,5005,Introduction to AI,3,"Basic concepts, tools, and techniques used to produce and study intelligent behavior. Organizing knowledge, exploiting constraints, searching spaces, understanding natural languages, and problem solving strategies."
CAI5026,CAI ,5026,Ethical Issues in AI,3,This course introduces students to ethical issues and professional responsibilities arising in artificial intelligence. Students will develop ethical solutions to real-world problems and present them.
CAI5035,CAI ,5035,Math for AI,3,"This course introduces students to mathematical concepts that form the basis of Artificial Intelligence methods. Topics within linear algebra, calculus, and statistics in the context of AI will be covered."
CAI5107,CAI ,5107,Machine Learning,3,"This course introduces students to Machine Learning and includes supervised machine learning methods and their application, how to assess machine learning algorithm performance, the time/accuracy trade-offs between algorithms, and unsupervised learning."
CAI5133,CAI ,5133,Social Media Mining,3,"This course introduces useful techniques to model, analyze, and understand large-scale social media, with focus on social network analysis, user modeling, bot detection, and dynamical processes over social and information networks."
CAI5135,CAI ,5135,Data Mining,3,An introductory course to mining information from data. Scalable supervised and unsupervised machine learning methods are discussed. Methods to visualize and extract heuristic rules from large databases with minimal supervision is discussed.
CAI5155,CAI ,5155,Net Analysis & ML with Graphs,3,"Introduces the fundamentals of network science and its applications, covering theoretical concepts and practical techniques. Topics include clustering, community detection, information spreading, network visualization, graph mining, and machine learning on graphs. Students will study Graph Neural Networks and their real-world applications through lectures, presentations, and projects."
CAI5205,CAI ,5205,Deep Learning,3,"The study of deep learning is a subset of machine learning that focuses on neural networks. Topics will include math for deep learning, single and multi-layer neural networks, applications of deep learning, as well as ethical concerns of the use of deep learning."
CAI5307,CAI ,5307,Natural Language Processing,3,"The concepts and principles of computer processing of natural language, including linguistic phenomena, formal methods, and applications."
CAI5335,CAI ,5335,Introduction to Large Language Models,3,"Introduce research advances in state-of-the-art advanced Natural Language Processing (NLP) models and methods, gradually leading to the development of Large Language Models (LLMs)."
CAI5615,CAI ,5615,Affective Computing,3,"The study of systems that can express, recognize and respond to human affects by analyzing faces, gestures, body pose, and biological data that includes brain, heart, and respiration signals."
CAI5815,CAI ,5815,Autonomous Mobile Robots,3,"An introduction to autonomous mobile robots, including software programming of controllers, sensors, actuators, kinematics, navigation, localization, mapping, path planning, and other selected topics."
CAI5845,CAI ,5845,Computer Vision,3,"Techniques for description and recognition of objects, use of stereo, texture, and motion information for scene segmentation and description, consistent labeling and matching, use of knowledge and planning in computer vision."
CAI5846,CAI ,5846,Digital Image Processing,3,"Image formation, sources of image degradation, image enhancement techniques, edge detection operators and threshold selection, low-level processing algorithms for vision, image data compression."
CAI6106,CAI ,6106,Hardware for Machine Learning,3,"Focuses on studying, designing, and evaluating various hardware platforms for deploying high-performance machine learning (ML) algorithms. The platforms examined include GPUs and vector architectures, field-programmable gate arrays (FPGAs), application-specific integrated circuits (ASICs), in-memory computing, and quantum-computing-based accelerators."
CAI6605,CAI ,6605,Trustworthy AI Systems,3,This course aims to bridge the gap between theoretical knowledge and practical AI applications. Students will engage in developing and evaluating AI systems and trustworthiness.
CAP4034,CAP ,4034,Computer Animation Fundamentals ,3,"An introductory course to computer animation. Topics include storyboarding, camera control, hierarchical character modeling, inverse kinematics, keyframing, motion capture, dynamic simulation, and facial animation."
CAP4103,CAP ,4103,Mobile Biometrics ,3,"Topics include foundations of biometric systems, mobile biometric modalities and features, and adversary attacks."
CAP4111,CAP ,4111,Introduction to Augmented and Virtual Reality,3,"This course introduces students to computer graphics techniques, computer vision techniques, and hardware designs that make augmented and virtual reality systems immersive."
CAP4136,CAP ,4136,Malware Analysis and Reverse Engineering ,3,"This course will introduce students to the technical definition of malware, to the various malware analysis techniques (including reverse engineering of malware), and how to mitigate a malware attack."
CAP4160,CAP ,4160,Brain-Computer Interfaces ,3,"This course involves the exploration of new forms of Human-Computer Interaction (HCI) based on a passive measurement of neurophysiological states (cognitive and affective). These include measuring cognitive workload and affective engagement. Students will read research papers in several related disciplines (i.e. Neuroscience, Cognitive Psychology, Cognitive Science, Medical BCI, Computational Neuroscience, and others) and present and discuss them in the course. We will explore the uses of non-invasive ubiquitous electroencephalographic (EEG) brain technologies. Also, students will learn the basics of other brain imaging technologies such as near-infrared spectroscopy (fNIRS) and Functional Magnetic Resonance Imaging (fMRI) and how they relate to the field of computing. We will also explore ways to use such measurements as a form of machine control."
CAP4401,CAP ,4401,,,
CAP4621,CAP ,4621,,,
CAP4628,CAP ,4628,Affective Computing ,3,"The study of systems that can recognize, interpret, process, and simulate human affect. Topics may include physiology of emotion, lie detection, wearable devices, music, gaming, and ethical concerns associated with affective computing."
CAP4637,CAP ,4637,Automated Reasoning and Theorem Proving ,3,"This course covers the principles of automated reasoning/mechanical theorem proving. Topics to be covered include propositional logic, predicate logic, skolem standard forms, various resolution principles and methods, and non-classical logics."
CAP4641,CAP ,4641,Natural Language Processing ,3,"The concepts and principles of computer processing of natural language, including linguistic phenomena, formal methods, and applications."
CAP4662,CAP ,4662,Introduction to Robotics ,3,"An introduction to the fundamentals of robotics. Students will learn the fundamentals of robotics including kinematics, inverse kinematics, Jacobian, velocity, configuration space, motion planning, and path planning algorithms."
CAP4744,CAP ,4744,Interactive Data Visualization ,3,"This course introduces the techniques used for developing effective visual analysis tools. The course covers principles from perception and design, and the algorithms used in visualizing a broad range of data types."
CAP4773,CAP ,4773,Social Media Mining ,3,"This course introduces useful techniques to model, analyze, and understand large-scale social media, with focus on social network analysis, user modeling, bot detection, and dynamical processes over social and information networks."
CAP5178,CAP ,5178,Human-Computer Interaction,3,"A study of the major topics in human-computer interaction, including interface design (principles, theories, guidelines), usability evaluation, interactive devices, collaboration, and visualization."
CAP5400,CAP ,5400,,,
CAP5610,CAP ,5610,,,
CAP5625,CAP ,5625,,,
CAP5627,CAP ,5627,,,
CAP5745,CAP ,5745,Interactive Data Visualization,3,This course will introduce students to the principles and algorithms necessary for effective visual analysis of data.
CAP5771,CAP ,5771,,,
CAP6100,CAP ,6100,Human Computer Interface,3,Introduction to the design and evaluation of the interface between a computer based application and a human user.
CAP6101,CAP ,6101,Mobile Biometrics,3,"This course covers the foundations of biometric systems on mobile and other edge devices, offers hands-on experience in data collection and in building a verification system, and leads to a thorough overview of current research literature."
CAP6109,CAP ,6109,Brain-Computer Interfaces,3,This course involves the exploration of new forms of Human-Computer Interaction (HCI) based on passive measurement of neurophysiological states (cognitive and affective). These include measuring cognitive workload and affective engagement.
CAP6110,CAP ,6110,Augmented Reality,3,This course provides a comprehensive overview of augmented reality (AR) concepts and techniques and teaches how to develop AR applications.
CAP6317,CAP ,6317,,,
CAP6406,CAP,6406,Computational Methods for Imaging,3,"Covers the fundamental mathematical theory and use of computation in modern imaging systems. It will introduce mathematical models and how they are exploited to improve imaging fidelity, with an emphasis on theory and coding. Includes a month-long project motivated by providing hands-on, lab-based practical experience via holography and tomography imaging systems."
CAP6415,CAP ,6415,,,
CAP6455,CAP ,6455,Advanced Robotic Systems,3,"Unmanned ground, aerial and underwater robots. Modeling, kinematics dynamics and control; navigation and collision avoidance; sensor fusion; vision-based navigation; sensor fault detection and isolation; system architectures and robot swarms."
CAP6505,CAP ,6505,Smart and Connected Health,3,"Smart and connected health solutions utilize new sensing technology, smart devices, wireless networks, and big data analytics to provide significantly improved care to anyone, anytime, and anywhere while increasing coverage, quality, and efficiency of healthcare. This course studies how mobile, wireless, sensing, cloud, and big data technologies can be used to implement the future of healthcare."
CAP6619,CAP ,6619,,,
CAP6632,CAP ,6632,Automated Reasoning and Theorem Proving,3,"This course covers the principles of automated reasoning/mechanical theorem proving. Topics to be covered include propositional logic, predicate logic, skolem standard forms, various resolution principles and methods, and non-classical logics."
CAP6640,CAP ,6640,,,
CAP6672,CAP ,6672,Robot Intelligence and Computer Vision,3,"An introduction to robotic systems with emphasis on the computational aspects of robot control. Topics for discussion: overview of the robotics field, analysis of robot arm kinematics and coordinate transformation, real-time computer control of robot arms, and computer vision. Practical experience in programming robotic systems will be included."
CAP6736,CAP ,6736,Geometric Modeling,3,"The course deals with the representation, design, analysis, processing and visualization of shape information used in a variety of fields of science and engineering."
CAP6940,CAP ,6940,IT Graduate Practicum,3-6,"An information technology project-based course that requires the student to investigate, design and implement a real-world application over two semesters or, with approval, one semester."
CDA3103,CDA ,3103,Computer Organization,3,"Introduction to computer hardware, logic elements and Boolean algebra, computer arithmetic, the central processing unit, assembly language programming, input/output, and memory."
CDA3201,CDA ,3201,Computer Logic and Design,3,"Others by special permission. Advanced coverage of Boolean Algebra, introduction to minimization of combinational logic circuits, analysis and synthesis of sequential circuits, testing of logic circuits and programmable logic devices."
CDA3201L,CDA ,3201L,Computer Logic and Design Lab,1,Laboratory component of the Computer Logic and Design class.
CDA4021,CDA ,4021,Computing Circuits,3,"Topics covered include: Basic understanding of computing circuits, Ohm’s Law, Kirchhoff’s Voltage Law (KVL), Kirchhoff’s Current Law (KCL), Network theorems (Norton’s, Thevenin’s, Superposition Theorem), RLC circuit analysis, Microelectronics Basics, Op-Amps, Diode circuits (rectifiers, clippers, clampers), basics of MOS Field-Effect Transistors (MOSFETs)."
CDA4203,CDA ,4203,Computer System Design,3,"Design Methods, Top-Down design, Building Blocks, Instruction and addressing models, minicomputer design, interfacing."
CDA4203L,CDA ,4203L,Computer System Design Lab,1,"This lab introduces the student to the concept of system design. Several projects are given including building timing circuits, memory-based and communication circuits, and microcomputer-based designs."
CDA4205,CDA ,4205,Computer Architecture,3,"Principles of the design of computer systems, processors, memories, and switches. Consideration of the register transfer representation of a computer, ALU’s and their implementation, control units, memory and I/O, and the hardware support of operation systems."
CDA4205L,CDA ,4205L,Computer Architecture Lab,1,Laboratory component of the Computer Architecture class.
CDA4213,CDA ,4213,CMOS-VLSI Design,3,"Covers analysis and design of CMOS processing technology, CMOS logic and circuit design, layout timing and delay, and power and thermal issues. CMOS transistor theory. VLSI system design, case studies and rapid prototype chip design."
CDA4213L,CDA ,4213L,CMOS-VLSI Design Lab,1,"Scalable CMOS layout design, circuit extraction, transistor-level and lay-out level simulation, SPICE parameters/modeling, transistor sizing, standard and macro-cell based layout, static/dynamic CMOS, combinational/sequential block layout, memory I/O design."
CDA4253,CDA ,4253,Field Programmable Gate Array System Design and Analysis,3,"Covers analysis and design of digital systems using VHDL simulation. Provides experience with field programmable logic gates and gate arrays. Introduces the requirements for field programmable systems; testing of circuitry, and analysis of system design."
CDA4321,CDA ,4321,Cryptographic Hardware and Embedded Systems,3,Efficient hardware implementation of cryptographic algorithms is presented to meet the performance and cost requirements of computing platforms from handheld to server-level computers. Cryptographic implementation attacks and countermeasures are covered.
