ProgramID,CourseID,ProgramRequirementType
BSCS,CDA3103,Core
BSCS,CDA3201,Core
BSCS,CDA3201L,Core
BSCS,CDA4205L,Core
BSCS,CDA4205,Core
BSCS,CEN4020,Core
BSCS,CIS1930,Core
BSCS,CIS4250,Core
BSCS,CNT4419,Core
BSCS,COP2510,Core
BSCS,COP3514,Core
BSCS,COP4530,Core
BSCS,COP4600,Core
BSCS,COT4400,Core
BSCS,CAI4002,Elective
BSCS,CAI4841,Elective
BSCS,CAI4842,Elective
BSCS,CAP4034,Elective
BSCS,CAP4103,Elective
BSCS,CAP4111,Elective
BSCS,CAP4160,Elective
BSCS,CAP4628,Elective
BSCS,CAP4641,Elective
BSCS,CAP4662,Elective
BSCS,CAP4744,Elective
BSCS,CAP4773,Elective
BSCS,CEN4072,Elective
BSCS,CIS4345,Elective
BSCS,CNT4004,Elective
BSCS,CNT4411,Elective
BSCS,COP4020,Elective
BSCS,COP4365,Elective
BSCS,COP4520,Elective
BSCS,COP4620,Elective
BSCS,COP4710,Elective
BSCS,COT4210,Elective
BSCS,COT4521,Elective
BSCS,COT4601,Elective
BSCP,CDA3103,Core
BSCP,CDA3201,Core
BSCP,CDA3201L,Core
BSCP,CDA4021,Core
BSCP,CDA4203,Core
BSCP,CDA4203L,Core
BSCP,CDA4205,Core
BSCP,CDA4205L,Core
BSCP,CDA4213,Core
BSCP,CDA4213L,Core
BSCP,CIS1930,Core
BSCP,CIS4250,Core
BSCP,CIS4910,Core
BSCP,COP2510,Core
BSCP,COP3514,Core
BSCP,COP4530,Core
BSCP,COP4600,Core
BSCP,COT4400,Core
BSCP,CDA4253,Elective
BSCP,CDA4321,Elective
BSCP,CDA4322,Elective
BSCP,CDA4323,Elective
BSCP,CAI4002,Elective
BSCP,CAI4841,Elective
BSCP,CAI4842,Elective
BSCP,CAP4034,Elective
BSCP,CAP4103,Elective
BSCP,CAP4111,Elective
BSCP,CAP4160,Elective
BSCP,CAP4628,Elective
BSCP,CAP4641,Elective
BSCP,CAP4662,Elective
BSCP,CAP4744,Elective
BSCP,CAP4773,Elective
BSCP,CDA4621,Elective
BSCP,CEN4072,Elective
BSCP,CIS4212,Elective
BSCP,CIS4345,Elective
BSCP,CIS4900,Elective
BSCP,CIS4915,Elective
BSCP,CIS4930,Elective
BSCP,CIS4940,Elective
BSCP,CNT4004,Elective
BSCP,CNT4411,Elective
BSCP,COP4020,Elective
BSCP,COP4365,Elective
BSCP,COP4520,Elective
BSCP,COP4620,Elective
BSCP,COP4710,Elective
BSCP,COT4210,Elective
BSCP,COT4521,Elective
BSCP,COT4601,Elective
BSIT,CGS1540,Core
BSIT,CGS3853,Core
BSIT,CIS1930,Core
BSIT,CIS3213,Core
BSIT,CIS3433,Core
BSIT,CIS4083,Core
BSIT,CNT4104,Core
BSIT,CNT4104L,Core
BSIT,CNT4603,Core
BSIT,COP2510,Core
BSIT,COP2513,Core
BSIT,COP3515,Core
BSIT,COP4538,Core
BSIT,COP4703,Core
