MeetingID,SectionID,DayOfWeek,StartTime,EndTime,Room
1,202501-15533,Friday,11:00 AM,1:45 PM,CWY 107
2,202501-15509,Monday,12:30 PM,1:45 PM,CMC 141
3,202501-15509,Wednesday,12:30 PM,1:45 PM,CMC 141
4,202501-15541,Tuesday,12:30 PM,1:45 PM,CHE 103
5,202501-15541,Thursday,12:30 PM,1:45 PM,CHE 103
6,202501-15542,Monday,12:30 PM,1:45 PM,ENB 118
7,202501-15542,Wednesday,12:30 PM,1:45 PM,ENB 118
8,202501-19011,Tuesday,2:00 PM,3:15 PM,CPR 115
9,202501-19011,Thursday,2:00 PM,3:15 PM,CPR 115
10,202501-18954,Monday,5:00 PM,6:15 PM,CPR 103
11,202501-18954,Wednesday,5:00 PM,6:15 PM,CPR 103
12,202501-15933,Monday,5:00 PM,6:15 PM,CPR 103
13,202501-15933,Wednesday,5:00 PM,6:15 PM,CPR 103
14,202501-15510,Monday,5:00 PM,6:15 PM,ISA 1061
15,202501-15510,Wednesday,5:00 PM,6:15 PM,ISA 1061
16,202501-15511,Monday,11:00 AM,12:15 PM,CHE 111
17,202501-15511,Wednesday,11:00 AM,12:15 PM,CHE 111
18,202501-15506,Friday,11:00 AM,1:45 PM,CHE 100
19,202501-19021,Tuesday,3:30 PM,4:45 PM,CHE 303
20,202501-19021,Thursday,3:30 PM,4:45 PM,CHE 303
21,202501-18957,Monday,11:00 AM,12:15 PM,BSF 100
22,202501-18957,Wednesday,11:00 AM,12:15 PM,BSF 100
23,202501-18958,Monday,11:00 AM,12:15 PM,BSF 100
24,202501-18958,Wednesday,11:00 AM,12:15 PM,BSF 100
25,202501-15922,Tuesday,3:30 PM,4:45 PM,BEH 103
26,202501-15922,Thursday,3:30 PM,4:45 PM,BEH 103
27,202501-15921,Tuesday,3:30 PM,4:45 PM,BEH 103
28,202501-15921,Thursday,3:30 PM,4:45 PM,BEH 103
29,202501-15919,Monday,5:00 PM,6:15 PM,CHE 100
30,202501-15919,Wednesday,5:00 PM,6:15 PM,CHE 100
31,202501-15920,Monday,5:00 PM,6:15 PM,CHE 100
32,202501-15920,Wednesday,5:00 PM,6:15 PM,CHE 100
33,202501-15500,Monday,9:30 AM,10:45 AM,CPR 115
34,202501-15500,Wednesday,9:30 AM,10:45 AM,CPR 115
35,202501-15499,Tuesday,8:00 AM,9:15 AM,CMC 141
36,202501-15499,Thursday,8:00 AM,9:15 AM,CMC 141
37,202501-16768,Friday,9:30 AM,11:15 AM,ENB 214
38,202501-16769,Friday,11:30 AM,1:15 PM,ENB 214
39,202501-16773,Wednesday,11:30 AM,1:15 PM,ENB 214
40,202501-16774,Wednesday,1:30 PM,3:15 PM,ENB 214
41,202501-16775,Thursday,9:00 AM,10:50 AM,ENB 214
42,202501-16776,Thursday,11:30 AM,1:15 PM,ENB 214
43,202501-16700,Tuesday,5:00 PM,6:15 PM,BSF 100
44,202501-16700,Thursday,5:00 PM,6:15 PM,BSF 100
45,202501-15512,Tuesday,2:00 PM,3:15 PM,ULH 101
46,202501-15512,Thursday,2:00 PM,3:15 PM,ULH 101
47,202501-15513,Monday,5:00 PM,6:15 PM,ULH 101
48,202501-15513,Wednesday,5:00 PM,6:15 PM,ULH 101
49,202501-16782,Friday,12:00 PM,1:50 PM,ENB 214
50,202501-16783,Friday,2:00 PM,3:50 PM,ENB 214
51,202501-16784,Thursday,3:00 PM,4:50 PM,ENB 214
52,202501-16777,Wednesday,5:00 PM,6:50 PM,ENB 214
53,202501-16778,Tuesday,2:00 PM,3:50 PM,ENB 214
54,202501-16779,Tuesday,4:00 PM,5:50 PM,ENB 214
55,202501-16780,Tuesday,10:00 AM,11:50 AM,ENB 214
56,202501-16781,Tuesday,12:00 PM,1:50 PM,ENB 214
57,202501-20487,Tuesday,5:00 PM,6:15 PM,BSF 100
58,202501-20487,Thursday,5:00 PM,6:15 PM,BSF 100
59,202501-16791,Thursday,9:00 AM,10:50 AM,NEC 300
60,202501-16790,Thursday,11:00 AM,12:50 PM,NEC 300
61,202501-16788,Thursday,1:00 PM,2:50 PM,NEC 300
62,202501-16789,Friday,9:00 AM,10:50 AM,NEC 300
63,202501-16787,Thursday,3:00 PM,4:50 PM,NEC 300
64,202501-19006,Friday,11:00 AM,12:50 PM,NEC 300
65,202501-15498,Monday,2:00 PM,3:15 PM,BSF 100
66,202501-15498,Wednesday,2:00 PM,3:15 PM,BSF 100
67,202501-15515,Tuesday,2:00 PM,3:15 PM,CWY 109
68,202501-15515,Thursday,2:00 PM,3:15 PM,CWY 109
